chunk_id,doc_id,titulo,categoria,prioridade,url,config_id,chunk_size,chunk_overlap,ordem_chunk,qtd_caracteres_chunk,texto_chunk
DOC001_C1_0001,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C1,500,0,1,486,"Serviços - FEI
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica.
Selecione no menu ao lado as informações que necessita!
Confira a página da Secretaria →
Esporte e Lazer
A FEI disponibiliza aos seus alunos e colaboradores um magnífico Centro de Vivência Desportiva, Recreação
e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,"
DOC001_C1_0002,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C1,500,0,2,442,"periódicos, multimeios, além da Biblioteca Digital de Teses e Dissertações.
Conheça a nossa biblioteca →
Estágio e Emprego
O SESEM oferece ao aluno uma série de oportunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
Consulte as opções de bolsas →"
DOC001_C2_0001,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C2,500,100,1,486,"Serviços - FEI
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica.
Selecione no menu ao lado as informações que necessita!
Confira a página da Secretaria →
Esporte e Lazer
A FEI disponibiliza aos seus alunos e colaboradores um magnífico Centro de Vivência Desportiva, Recreação
e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,"
DOC001_C2_0002,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C2,500,100,2,477,"A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,
periódicos, multimeios, além da Biblioteca Digital de Teses e Dissertações.
Conheça a nossa biblioteca →
Estágio e Emprego
O SESEM oferece ao aluno uma série de oportunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação
Conheça as opções de financiamento"
DOC001_C2_0003,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C2,500,100,3,126,"Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
Consulte as opções de bolsas →"
DOC001_C3_0001,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C3,500,200,1,486,"Serviços - FEI
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica.
Selecione no menu ao lado as informações que necessita!
Confira a página da Secretaria →
Esporte e Lazer
A FEI disponibiliza aos seus alunos e colaboradores um magnífico Centro de Vivência Desportiva, Recreação
e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,"
DOC001_C3_0002,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C3,500,200,2,490,"e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,
periódicos, multimeios, além da Biblioteca Digital de Teses e Dissertações.
Conheça a nossa biblioteca →
Estágio e Emprego
O SESEM oferece ao aluno uma série de oportunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação"
DOC001_C3_0003,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C3,500,200,3,212,"de grandes empresas nacionais e multinacionais.
Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
Consulte as opções de bolsas →"
DOC001_C4_0001,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C4,800,0,1,764,"Serviços - FEI
Secretaria
Na área de secretaria, você pode ter mais informações sobre questões administrativas da vida acadêmica.
Selecione no menu ao lado as informações que necessita!
Confira a página da Secretaria →
Esporte e Lazer
A FEI disponibiliza aos seus alunos e colaboradores um magnífico Centro de Vivência Desportiva, Recreação
e Lazer.
Conheça a nossa estrutura →
Biblioteca
A Biblioteca da FEI disponibiliza a seus usuários um grande acervo composto por livros, revistas,
periódicos, multimeios, além da Biblioteca Digital de Teses e Dissertações.
Conheça a nossa biblioteca →
Estágio e Emprego
O SESEM oferece ao aluno uma série de oportunidades para atuar como estagiário, trainee ou mesmo empregado
de grandes empresas nacionais e multinacionais."
DOC001_C4_0002,DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,https://portal.fei.edu.br/servicos,C4,800,0,2,164,"Acesse o setor de estágio e emprego →
Setor de Bolsas de Graduação
Conheça as opções de financiamento
estudantil oferecidas pela FEI.
Consulte as opções de bolsas →"
